id;pais;ano;quantidade_kg;valor_us
1;Africa do Sul;1970;0;0
1;Africa do Sul;1971;0;0
1;Africa do Sul;1972;0;0
1;Africa do Sul;1973;0;0
1;Africa do Sul;1974;0;0
1;Africa do Sul;1975;0;0
1;Africa do Sul;1976;0;0
1;Africa do Sul;1977;0;0
1;Africa do Sul;1978;0;0
1;Africa do Sul;1979;0;0
1;Africa do Sul;1980;0;0
1;Africa do Sul;1981;0;0
1;Africa do Sul;1982;0;0
1;Africa do Sul;1983;0;0
1;Africa do Sul;1984;0;0
1;Africa do Sul;1985;0;0
1;Africa do Sul;1986;0;0
1;Africa do Sul;1987;0;0
1;Africa do Sul;1988;0;0
1;Africa do Sul;1989;0;0
1;Africa do Sul;1990;0;0
1;Africa do Sul;1991;0;0
1;Africa do Sul;1992;0;0
1;Africa do Sul;1993;0;0
1;Africa do Sul;1994;0;0
1;Africa do Sul;1995;120252;110730
1;Africa do Sul;1996;0;0
1;Africa do Sul;1997;0;0
1;Africa do Sul;1998;1605;1085
1;Africa do Sul;1999;0;0
1;Africa do Sul;2000;0;0
1;Africa do Sul;2001;1200;665
1;Africa do Sul;2002;0;0
1;Africa do Sul;2003;0;0
1;Africa do Sul;2004;1876;1124
1;Africa do Sul;2005;12014;7685
1;Africa do Sul;2006;10689;7312
1;Africa do Sul;2007;12754;8635
1;Africa do Sul;2008;14379;10961
1;Africa do Sul;2009;11839;9400
1;Africa do Sul;2010;37353;31729
1;Africa do Sul;2011;38796;34605
1;Africa do Sul;2012;74388;71839
1;Africa do Sul;2013;67758;68254
1;Africa do Sul;2014;43104;40489
1;Africa do Sul;2015;13125;13209
1;Africa do Sul;2016;7154;5841
1;Africa do Sul;2017;22029;17551
1;Africa do Sul;2018;21618;18334
1;Africa do Sul;2019;0;0
1;Africa do Sul;2020;0;0
1;Africa do Sul;2021;0;0
1;Africa do Sul;2022;0;0
1;Africa do Sul;2023;0;0
2;Alemanha;1970;0;0
2;Alemanha;1971;0;0
2;Alemanha;1972;0;0
2;Alemanha;1973;0;0
2;Alemanha;1974;0;0
2;Alemanha;1975;5;1
2;Alemanha;1976;0;0
2;Alemanha;1977;0;0
2;Alemanha;1978;0;0
2;Alemanha;1979;0;0
2;Alemanha;1980;0;0
2;Alemanha;1981;0;0
2;Alemanha;1982;0;0
2;Alemanha;1983;0;0
2;Alemanha;1984;0;0
2;Alemanha;1985;0;0
2;Alemanha;1986;0;0
2;Alemanha;1987;0;0
2;Alemanha;1988;0;0
2;Alemanha;1989;0;0
2;Alemanha;1990;0;0
2;Alemanha;1991;0;0
2;Alemanha;1992;1170;2497
2;Alemanha;1993;2832;2704
2;Alemanha;1994;4521;7206
2;Alemanha;1995;4407;4792
2;Alemanha;1996;13185;22088
2;Alemanha;1997;2880;1901
2;Alemanha;1998;0;0
2;Alemanha;1999;0;0
2;Alemanha;2000;0;0
2;Alemanha;2001;0;0
2;Alemanha;2002;0;0
2;Alemanha;2003;0;0
2;Alemanha;2004;600;1791
2;Alemanha;2005;0;0
2;Alemanha;2006;0;0
2;Alemanha;2007;0;0
2;Alemanha;2008;60850;68950
2;Alemanha;2009;0;0
2;Alemanha;2010;0;0
2;Alemanha;2011;0;0
2;Alemanha;2012;0;0
2;Alemanha;2013;0;0
2;Alemanha;2014;0;0
2;Alemanha;2015;6496;46692
2;Alemanha;2016;6540;75902
2;Alemanha;2017;0;0
2;Alemanha;2018;80;652
2;Alemanha;2019;0;0
2;Alemanha;2020;0;0
2;Alemanha;2021;0;0
2;Alemanha;2022;0;0
2;Alemanha;2023;0;0
3;Argentina;1970;0;0
3;Argentina;1971;0;0
3;Argentina;1972;0;0
3;Argentina;1973;3600;1350
3;Argentina;1974;10200;3500
3;Argentina;1975;6;5
3;Argentina;1976;0;0
3;Argentina;1977;0;0
3;Argentina;1978;2790;2850
3;Argentina;1979;0;0
3;Argentina;1980;0;0
3;Argentina;1981;0;0
3;Argentina;1982;0;0
3;Argentina;1983;0;0
3;Argentina;1984;0;0
3;Argentina;1985;0;0
3;Argentina;1986;1575080;713219
3;Argentina;1987;2452094;3673253
3;Argentina;1988;224130;163512
3;Argentina;1989;1901597;1339369
3;Argentina;1990;1875689;1367706
3;Argentina;1991;506860;499644
3;Argentina;1992;10200;6800
3;Argentina;1993;2950;3540
3;Argentina;1994;0;0
3;Argentina;1995;708655;549282
3;Argentina;1996;1050503;830357
3;Argentina;1997;2796195;2428563
3;Argentina;1998;2057726;1994801
3;Argentina;1999;2003660;1845406
3;Argentina;2000;2022110;1659478
3;Argentina;2001;1379960;869223
3;Argentina;2002;0;0
3;Argentina;2003;2237000;994132
3;Argentina;2004;850000;658747
3;Argentina;2005;974970;870222
3;Argentina;2006;1775000;1535250
3;Argentina;2007;1297680;1095590
3;Argentina;2008;0;0
3;Argentina;2009;0;0
3;Argentina;2010;108000;138240
3;Argentina;2011;0;0
3;Argentina;2012;0;0
3;Argentina;2013;0;0
3;Argentina;2014;0;0
3;Argentina;2015;0;0
3;Argentina;2016;59028;80898
3;Argentina;2017;72900;90518
3;Argentina;2018;2998;3139
3;Argentina;2019;0;0
3;Argentina;2020;0;0
3;Argentina;2021;0;0
3;Argentina;2022;0;0
3;Argentina;2023;0;0
4;Austria;1970;0;0
4;Austria;1971;0;0
4;Austria;1972;0;0
4;Austria;1973;0;0
4;Austria;1974;0;0
4;Austria;1975;0;0
4;Austria;1976;0;0
4;Austria;1977;0;0
4;Austria;1978;0;0
4;Austria;1979;0;0
4;Austria;1980;0;0
4;Austria;1981;0;0
4;Austria;1982;0;0
4;Austria;1983;0;0
4;Austria;1984;0;0
4;Austria;1985;0;0
4;Austria;1986;0;0
4;Austria;1987;0;0
4;Austria;1988;0;0
4;Austria;1989;0;0
4;Austria;1990;0;0
4;Austria;1991;0;0
4;Austria;1992;0;0
4;Austria;1993;0;0
4;Austria;1994;0;0
4;Austria;1995;1200;348
4;Austria;1996;0;0
4;Austria;1997;0;0
4;Austria;1998;35210;16029
4;Austria;1999;0;0
4;Austria;2000;0;0
4;Austria;2001;0;0
4;Austria;2002;0;0
4;Austria;2003;0;0
4;Austria;2004;0;0
4;Austria;2005;0;0
4;Austria;2006;0;0
4;Austria;2007;0;0
4;Austria;2008;0;0
4;Austria;2009;0;0
4;Austria;2010;0;0
4;Austria;2011;3264;3254
4;Austria;2012;0;0
4;Austria;2013;0;0
4;Austria;2014;0;0
4;Austria;2015;0;0
4;Austria;2016;0;0
4;Austria;2017;1333;1467
4;Austria;2018;0;0
4;Austria;2019;666;655
4;Austria;2020;0;0
4;Austria;2021;0;0
4;Austria;2022;0;0
4;Austria;2023;0;0
5;Canadá;1970;0;0
5;Canadá;1971;0;0
5;Canadá;1972;0;0
5;Canadá;1973;0;0
5;Canadá;1974;0;0
5;Canadá;1975;0;0
5;Canadá;1976;0;0
5;Canadá;1977;0;0
5;Canadá;1978;0;0
5;Canadá;1979;0;0
5;Canadá;1980;0;0
5;Canadá;1981;0;0
5;Canadá;1982;0;0
5;Canadá;1983;0;0
5;Canadá;1984;0;0
5;Canadá;1985;0;0
5;Canadá;1986;0;0
5;Canadá;1987;0;0
5;Canadá;1988;30;233
5;Canadá;1989;0;0
5;Canadá;1990;0;0
5;Canadá;1991;0;0
5;Canadá;1992;0;0
5;Canadá;1993;0;0
5;Canadá;1994;19728;4558
5;Canadá;1995;26404;12195
5;Canadá;1996;21665;8124
5;Canadá;1997;995;691
5;Canadá;1998;0;0
5;Canadá;1999;0;0
5;Canadá;2000;0;0
5;Canadá;2001;0;0
5;Canadá;2002;0;0
5;Canadá;2003;0;0
5;Canadá;2004;0;0
5;Canadá;2005;0;0
5;Canadá;2006;0;0
5;Canadá;2007;0;0
5;Canadá;2008;0;0
5;Canadá;2009;0;0
5;Canadá;2010;0;0
5;Canadá;2011;0;0
5;Canadá;2012;0;0
5;Canadá;2013;0;0
5;Canadá;2014;0;0
5;Canadá;2015;0;0
5;Canadá;2016;0;0
5;Canadá;2017;0;0
5;Canadá;2018;0;0
5;Canadá;2019;0;0
5;Canadá;2020;0;0
5;Canadá;2021;0;0
5;Canadá;2022;0;0
5;Canadá;2023;0;0
6;Coreia do Sul, República;1970;0;0
6;Coreia do Sul, República;1971;0;0
6;Coreia do Sul, República;1972;0;0
6;Coreia do Sul, República;1973;0;0
6;Coreia do Sul, República;1974;0;0
6;Coreia do Sul, República;1975;0;0
6;Coreia do Sul, República;1976;0;0
6;Coreia do Sul, República;1977;0;0
6;Coreia do Sul, República;1978;0;0
6;Coreia do Sul, República;1979;0;0
6;Coreia do Sul, República;1980;0;0
6;Coreia do Sul, República;1981;0;0
6;Coreia do Sul, República;1982;0;0
6;Coreia do Sul, República;1983;0;0
6;Coreia do Sul, República;1984;0;0
6;Coreia do Sul, República;1985;0;0
6;Coreia do Sul, República;1986;0;0
6;Coreia do Sul, República;1987;0;0
6;Coreia do Sul, República;1988;0;0
6;Coreia do Sul, República;1989;0;0
6;Coreia do Sul, República;1990;0;0
6;Coreia do Sul, República;1991;0;0
6;Coreia do Sul, República;1992;0;0
6;Coreia do Sul, República;1993;0;0
6;Coreia do Sul, República;1994;0;0
6;Coreia do Sul, República;1995;158204;117269
6;Coreia do Sul, República;1996;0;0
6;Coreia do Sul, República;1997;0;0
6;Coreia do Sul, República;1998;303420;250582
6;Coreia do Sul, República;1999;112762;90300
6;Coreia do Sul, República;2000;5141;1800
6;Coreia do Sul, República;2001;8255;2645
6;Coreia do Sul, República;2002;0;0
6;Coreia do Sul, República;2003;5400;2145
6;Coreia do Sul, República;2004;4805;1344
